"","-","0","+"
"Bivalves",436,0,564
"D piscivores",790,0,210
"Detritus",432,0,568
"Discards",467,0,533
"Fishery",239,0,761
"Gelatinous zoop",0,1000,0
"L benthivores",923,0,77
"Large pelagics",452,0,548
"Macrozoop",841,0,159
"Megabenthos",783,0,217
"Meiofauna",77,0,923
"Mesozoop",436,0,564
"Microflora",564,0,436
"Microzoop",482,0,518
"Other molluscs",783,0,217
"Other pelagic mesopelagic",201,0,799
"Phytoplankton",436,0,564
"Sea birds",533,0,467
"Seals",774,0,226
"Sharks",770,0,230
"Shrimp",273,0,727
"Small crab other arthropoda",970,0,30
"Small pelagics",708,0,292
"Squids",561,0,439
"Toothed cetaceans",527,0,473
"Whales",825,0,175
"Worms",444,0,556
