"","-","0","+"
"Bivalves",454,0,546
"D piscivores",583,0,417
"Detritus",413,0,587
"Discards",434,0,566
"Fishery",653,0,347
"Gelatinous zoop",413,0,587
"L benthivores",462,0,538
"Large pelagics",374,0,626
"Macrozoop",924,0,76
"Megabenthos",499,0,501
"Meiofauna",523,0,477
"Mesozoop",125,0,875
"Microflora",375,0,625
"Microzoop",904,0,96
"Other molluscs",719,0,281
"Other pelagic mesopelagic",467,0,533
"Phytoplankton",902,0,98
"Sea birds",566,0,434
"Seals",400,0,600
"Sharks",515,0,485
"Shrimp",628,0,372
"Skates",625,0,375
"Small crab other arthropoda",652,0,348
"Small pelagics",570,0,430
"Squids",526,0,474
"Toothed cetaceans",496,0,504
"Whales",598,0,402
"Worms",503,0,497
