"","-","0","+"
"Bivalves",270,0,730
"D piscivores",680,0,320
"Detritus",500,0,500
"Discards",487,0,513
"Fishery",124,0,876
"Gelatinous zoop",352,0,648
"L benthivores",687,0,313
"Large pelagics",55,0,945
"Macrozoop",466,0,534
"Megabenthos",655,0,345
"Meiofauna",600,0,400
"Mesozoop",691,0,309
"Microflora",373,0,627
"Microzoop",450,0,550
"Other molluscs",591,0,409
"Other pelagic mesopelagic",28,0,972
"Phytoplankton",621,0,379
"Sea birds",637,0,363
"Seals",332,0,668
"Sharks",890,0,110
"Shrimps",251,0,749
"Skates",551,0,449
"Small crab other arthropoda",301,0,699
"Small pelagics",735,0,265
"Squids",164,0,836
"Toothed cetaceans",772,0,228
"Whales",642,0,358
"Worms",536,0,464
