"","-","0","+"
"Bivalves",0,1000,0
"D piscivores",1000,0,0
"Detritus",0,1000,0
"Discards",0,1000,0
"Fishery",0,1000,0
"Gelatinous zoop",0,0,1000
"L benthivores",0,0,1000
"Large pelagics",0,0,1000
"Macrozoop",0,1000,0
"Megabenthos",0,1000,0
"Meiofauna",0,1000,0
"Mesozoop",0,1000,0
"Microflora",0,1000,0
"Microzoop",0,1000,0
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",503,0,497
"Phytoplankton",0,1000,0
"Sea birds",0,0,1000
"Seals",713,0,287
"Sharks",0,0,1000
"Shrimps",1000,0,0
"Skates",0,1000,0
"Small crab other arthropoda",0,1000,0
"Small pelagics",0,0,1000
"Squids",0,0,1000
"Toothed cetaceans",0,0,1000
"Whales",0,1000,0
"Worms",0,1000,0
