"","-","0","+"
"Bivalves",0,1000,0
"D piscivores",60,0,940
"Detritus",0,1000,0
"Discards",230,0,770
"Fishery",940,0,60
"Gelatinous zoop",0,1000,0
"L benthivores",60,0,940
"Large pelagics",566,0,434
"Macrozoop",0,1000,0
"Megabenthos",0,1000,0
"Meiofauna",0,1000,0
"Mesozoop",0,1000,0
"Microflora",0,1000,0
"Microzoop",0,1000,0
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",911,0,89
"Phytoplankton",0,1000,0
"Sea birds",770,0,230
"Seals",369,0,631
"Sharks",260,0,740
"Shrimp",503,0,497
"Skates",0,1000,0
"Small crab other arthropoda",0,1000,0
"Small pelagics",430,0,570
"Squids",774,0,226
"Toothed cetaceans",559,0,441
"Whales",192,0,808
"Worms",0,1000,0
