"","-","0","+"
"Bivalves",0,1000,0
"D piscivores",551,0,449
"Detritus",0,1000,0
"Discards",531,0,469
"Fishery",197,0,803
"Gelatinous zoop",0,1000,0
"L benthivores",803,0,197
"Large pelagics",413,0,587
"Macrozoop",0,1000,0
"Megabenthos",0,1000,0
"Meiofauna",0,1000,0
"Mesozoop",0,1000,0
"Microflora",0,1000,0
"Microzoop",0,1000,0
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",514,0,486
"Phytoplankton",0,1000,0
"Sea birds",469,0,531
"Seals",612,0,388
"Sharks",456,0,544
"Shrimp",796,0,204
"Skates",0,1000,0
"Small crab other arthropoda",0,1000,0
"Small pelagics",81,0,919
"Squids",482,0,518
"Toothed cetaceans",610,0,390
"Whales",392,0,608
"Worms",0,1000,0
