"","-","0","+"
"Bivalves",0,1000,0
"D piscivores",1000,0,0
"Detritus",0,1000,0
"Discards",705,0,295
"Fishery",0,0,1000
"Gelatinous zoop",0,1000,0
"L benthivores",0,1000,0
"Large pelagics",477,0,523
"Macrozoop",0,1000,0
"Megabenthos",0,1000,0
"Meiofauna",0,1000,0
"Mesozoop",0,1000,0
"Microflora",0,1000,0
"Microzoop",0,1000,0
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",0,0,1000
"Phytoplankton",0,1000,0
"Sea birds",295,0,705
"Seals",765,0,235
"Sharks",447,0,553
"Shrimp",0,0,1000
"Small crab other arthropoda",0,1000,0
"Small pelagics",165,0,835
"Squids",266,0,734
"Toothed cetaceans",279,0,721
"Whales",1000,0,0
"Worms",0,1000,0
