"","-","0","+"
"Bivalves",457,0,543
"D piscivores",499,0,501
"Detritus",801,0,199
"Discards",556,0,444
"Fishery",364,0,636
"Gelatinous zoop",801,0,199
"L benthivores",533,0,467
"Large pelagics",469,0,531
"Macrozoop",342,0,658
"Megabenthos",530,0,470
"Meiofauna",445,0,555
"Mesozoop",199,0,801
"Microflora",369,0,631
"Microzoop",616,0,384
"Other molluscs",362,0,638
"Other pelagic mesopelagic",453,0,547
"Phytoplankton",196,0,804
"Sea birds",444,0,556
"Seals",480,0,520
"Sharks",489,0,511
"Shrimp",513,0,487
"Skates",403,0,597
"Small crab other arthropoda",373,0,627
"Small pelagics",337,0,663
"Squids",461,0,539
"Toothed cetaceans",505,0,495
"Whales",355,0,645
"Worms",475,0,525
