"","-","0","+"
"Bivalves",0,1000,0
"D piscivores",912,0,88
"Detritus",0,1000,0
"Discards",762,0,238
"Fishery",298,0,702
"Gelatinous zoop",0,1000,0
"L benthivores",702,0,298
"Large pelagics",266,0,734
"Macrozoop",0,1000,0
"Megabenthos",0,1000,0
"Meiofauna",0,1000,0
"Mesozoop",0,1000,0
"Microflora",0,1000,0
"Microzoop",0,1000,0
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",309,0,691
"Phytoplankton",0,1000,0
"Sea birds",238,0,762
"Seals",547,0,453
"Sharks",674,0,326
"Shrimp",174,0,826
"Skates",0,1000,0
"Small crab other arthropoda",0,1000,0
"Small pelagics",178,0,822
"Squids",389,0,611
"Toothed cetaceans",479,0,521
"Whales",404,0,596
"Worms",0,1000,0
