"","-","0","+"
"Bivalves",727,0,273
"D piscivores",923,0,77
"Detritus",467,0,533
"Discards",447,0,553
"Fishery",201,0,799
"Gelatinous zoop",272,0,728
"L benthivores",336,0,664
"Large pelagics",260,0,740
"Macrozoop",535,0,465
"Megabenthos",398,0,602
"Meiofauna",417,0,583
"Mesozoop",307,0,693
"Microflora",633,0,367
"Microzoop",546,0,454
"Other molluscs",378,0,622
"Other pelagic mesopelagic",293,0,707
"Phytoplankton",371,0,629
"Sea birds",339,0,661
"Seals",373,0,627
"Sharks",702,0,298
"Shrimps",405,0,595
"Skates",528,0,472
"Small crab other arthropoda",713,0,287
"Small pelagics",245,0,755
"Squids",150,0,850
"Toothed cetaceans",598,0,402
"Whales",330,0,670
"Worms",442,0,558
