"","-","0","+"
"Bivalves",796,0,204
"D piscivores",1000,0,0
"Detritus",383,0,617
"Discards",617,0,383
"Fishery",796,0,204
"Gelatinous zoop",0,0,1000
"L benthivores",501,0,499
"Large pelagics",428,0,572
"Macrozoop",1000,0,0
"Megabenthos",796,0,204
"Meiofauna",383,0,617
"Mesozoop",0,0,1000
"Microflora",617,0,383
"Microzoop",796,0,204
"Other molluscs",851,0,149
"Other pelagic mesopelagic",352,0,648
"Phytoplankton",1000,0,0
"Sea birds",731,0,269
"Seals",505,0,495
"Sharks",475,0,525
"Shrimps",493,0,507
"Skates",864,0,136
"Small crab other arthropoda",383,0,617
"Small pelagics",509,0,491
"Squids",517,0,483
"Toothed cetaceans",440,0,560
"Whales",1000,0,0
"Worms",383,0,617
