"","-","0","+"
"Bivalves",686,0,314
"D piscivores",813,0,187
"Detritus",210,0,790
"Discards",583,0,417
"Fishery",612,0,388
"Gelatinous zoop",102,0,898
"L benthivores",638,0,362
"Large pelagics",643,0,357
"Macrozoop",980,0,20
"Megabenthos",416,0,584
"Meiofauna",210,0,790
"Mesozoop",20,0,980
"Microflora",259,0,741
"Microzoop",927,0,73
"Other molluscs",626,0,374
"Other pelagic mesopelagic",369,0,631
"Phytoplankton",980,0,20
"Sea birds",892,0,108
"Seals",505,0,495
"Sharks",631,0,369
"Shrimps",125,0,875
"Skates",559,0,441
"Small crab other arthropoda",417,0,583
"Small pelagics",695,0,305
"Squids",393,0,607
"Toothed cetaceans",764,0,236
"Whales",980,0,20
"Worms",210,0,790
