"","-","0","+"
"Bivalves",776,0,224
"D piscivores",0,0,1000
"Detritus",386,0,614
"Discards",614,0,386
"Fishery",776,0,224
"Gelatinous zoop",492,0,508
"L benthivores",489,0,511
"Large pelagics",421,0,579
"Macrozoop",0,0,1000
"Megabenthos",776,0,224
"Meiofauna",386,0,614
"Mesozoop",0,0,1000
"Microflora",614,0,386
"Microzoop",790,0,210
"Other molluscs",862,0,138
"Other pelagic mesopelagic",307,0,693
"Phytoplankton",1000,0,0
"Sea birds",281,0,719
"Seals",554,0,446
"Sharks",455,0,545
"Shrimps",469,0,531
"Skates",63,0,937
"Small crab other arthropoda",386,0,614
"Small pelagics",512,0,488
"Squids",506,0,494
"Toothed cetaceans",419,0,581
"Whales",0,0,1000
"Worms",386,0,614
