"","-","0","+"
"Bivalves",0,1000,0
"D piscivores",0,0,1000
"Detritus",0,1000,0
"Discards",316,0,684
"Fishery",1000,0,0
"Large pelagics",1000,0,0
"Macrozoop",0,1000,0
"Megabenthos",0,1000,0
"Meiofauna",0,1000,0
"Mesozoop",0,1000,0
"Microflora",0,1000,0
"Microzoop",0,1000,0
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",1000,0,0
"Phytoplankton",0,1000,0
"Sea birds",684,0,316
"Seals",0,0,1000
"Sharks",0,0,1000
"Shrimp",1000,0,0
"Small crab other arthropoda",0,1000,0
"Small pelagics",661,0,339
"Squids",1000,0,0
"Toothed cetaceans",626,0,374
"Whales",0,0,1000
"Worms",0,1000,0
