"","-","0","+"
"Bivalves",80,0,920
"D piscivores",9,0,991
"Detritus",791,0,209
"Discards",853,0,147
"Fishery",588,0,412
"Gelatinous zoop",994,0,6
"L benthivores",867,0,133
"Large pelagics",943,0,57
"Macrozoop",5,0,995
"Megabenthos",123,0,877
"Meiofauna",791,0,209
"Mesozoop",995,0,5
"Microflora",727,0,273
"Microzoop",57,0,943
"Other molluscs",754,0,246
"Other pelagic mesopelagic",572,0,428
"Phytoplankton",5,0,995
"Sea birds",680,0,320
"Seals",527,0,473
"Sharks",894,0,106
"Shrimps",496,0,504
"Skates",805,0,195
"Small crab other arthropoda",147,0,853
"Small pelagics",989,0,11
"Squids",799,0,201
"Toothed cetaceans",577,0,423
"Whales",5,0,995
"Worms",791,0,209
