"","-","0","+"
"Bivalves",483,0,517
"D piscivores",483,0,517
"Detritus",250,0,750
"Discards",465,0,535
"Fishery",298,0,702
"Gelatinous zoop",203,0,797
"L benthivores",491,0,509
"Large pelagics",279,0,721
"Macrozoop",325,0,675
"Megabenthos",633,0,367
"Meiofauna",503,0,497
"Mesozoop",110,0,890
"Microflora",336,0,664
"Microzoop",870,0,130
"Other molluscs",481,0,519
"Other pelagic mesopelagic",186,0,814
"Phytoplankton",634,0,366
"Sea birds",407,0,593
"Seals",383,0,617
"Sharks",615,0,385
"Shrimps",169,0,831
"Skates",438,0,562
"Small crab other arthropoda",408,0,592
"Small pelagics",514,0,486
"Squids",350,0,650
"Toothed cetaceans",532,0,468
"Whales",390,0,610
"Worms",464,0,536
