"","-","0","+"
"Bivalves",0,1000,0
"D piscivores",0,0,1000
"Detritus",0,1000,0
"Discards",298,0,702
"Fishery",1000,0,0
"Gelatinous zoop",0,1000,0
"L benthivores",0,1000,0
"Large pelagics",484,0,516
"Macrozoop",0,1000,0
"Megabenthos",0,1000,0
"Meiofauna",0,1000,0
"Mesozoop",0,1000,0
"Microflora",0,1000,0
"Microzoop",0,1000,0
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",1000,0,0
"Phytoplankton",0,1000,0
"Sea birds",702,0,298
"Seals",257,0,743
"Sharks",35,0,965
"Shrimp",1000,0,0
"Small crab other arthropoda",0,1000,0
"Small pelagics",168,0,832
"Squids",710,0,290
"Toothed cetaceans",743,0,257
"Whales",0,0,1000
"Worms",0,1000,0
