"","-","0","+"
"Bivalves",789,0,211
"D piscivores",954,0,46
"Detritus",197,0,803
"Discards",423,0,577
"Fishery",220,0,780
"Gelatinous zoop",22,0,978
"L benthivores",446,0,554
"Large pelagics",82,0,918
"Macrozoop",998,0,2
"Megabenthos",800,0,200
"Meiofauna",197,0,803
"Mesozoop",2,0,998
"Microflora",264,0,736
"Microzoop",961,0,39
"Other molluscs",498,0,502
"Other pelagic mesopelagic",400,0,600
"Phytoplankton",998,0,2
"Sea birds",323,0,677
"Seals",424,0,576
"Sharks",244,0,756
"Shrimps",519,0,481
"Skates",577,0,423
"Small crab other arthropoda",577,0,423
"Small pelagics",7,0,993
"Squids",523,0,477
"Toothed cetaceans",466,0,534
"Whales",998,0,2
"Worms",197,0,803
