"","-","0","+"
"Bivalves",262,0,738
"D piscivores",74,0,926
"Detritus",548,0,452
"Discards",570,0,430
"Fishery",834,0,166
"Gelatinous zoop",713,0,287
"L benthivores",674,0,326
"Large pelagics",756,0,244
"Macrozoop",487,0,513
"Megabenthos",595,0,405
"Meiofauna",570,0,430
"Mesozoop",700,0,300
"Microflora",362,0,638
"Microzoop",463,0,537
"Other molluscs",634,0,366
"Other pelagic mesopelagic",739,0,261
"Phytoplankton",644,0,356
"Sea birds",671,0,329
"Seals",622,0,378
"Sharks",279,0,721
"Shrimps",611,0,389
"Skates",513,0,487
"Small crab other arthropoda",285,0,715
"Small pelagics",749,0,251
"Squids",826,0,174
"Toothed cetaceans",405,0,595
"Whales",670,0,330
"Worms",568,0,432
