"","-","0","+"
"Bivalves",743,0,257
"D piscivores",183,0,817
"Detritus",253,0,747
"Discards",456,0,544
"Fishery",502,0,498
"Gelatinous zoop",438,0,562
"L benthivores",458,0,542
"Large pelagics",396,0,604
"Macrozoop",110,0,890
"Megabenthos",590,0,410
"Meiofauna",253,0,747
"Mesozoop",70,0,930
"Microflora",304,0,696
"Microzoop",902,0,98
"Other molluscs",593,0,407
"Other pelagic mesopelagic",315,0,685
"Phytoplankton",930,0,70
"Sea birds",177,0,823
"Seals",525,0,475
"Sharks",415,0,585
"Shrimps",464,0,536
"Skates",424,0,576
"Small crab other arthropoda",544,0,456
"Small pelagics",387,0,613
"Squids",653,0,347
"Toothed cetaceans",252,0,748
"Whales",110,0,890
"Worms",253,0,747
