"","-","0","+"
"Bivalves",764,0,236
"D piscivores",815,0,185
"Detritus",569,0,431
"Discards",131,0,869
"Fishery",22,0,978
"Gelatinous zoop",258,0,742
"L benthivores",85,0,915
"Large pelagics",889,0,111
"Macrozoop",360,0,640
"Megabenthos",955,0,45
"Meiofauna",568,1,431
"Mesozoop",640,0,360
"Microflora",570,0,430
"Microzoop",371,0,629
"Other molluscs",153,0,847
"Other pelagic mesopelagic",548,0,452
"Phytoplankton",360,0,640
"Sea birds",530,0,470
"Seals",280,0,720
"Sharks",587,0,413
"Shrimps",515,0,485
"Skates",582,0,418
"Small crab other arthropoda",869,0,131
"Small pelagics",641,0,359
"Squids",59,0,941
"Toothed cetaceans",727,0,273
"Whales",360,0,640
"Worms",569,0,431
