"","-","0","+"
"Bivalves",403,1,596
"D piscivores",803,0,197
"Detritus",430,0,570
"Discards",452,0,548
"Fishery",231,0,769
"Gelatinous zoop",0,1000,0
"L benthivores",929,0,71
"Large pelagics",463,0,537
"Macrozoop",851,0,149
"Megabenthos",58,0,942
"Meiofauna",71,0,929
"Mesozoop",403,0,597
"Microflora",597,0,403
"Microzoop",427,0,573
"Other molluscs",956,0,44
"Other pelagic mesopelagic",207,0,793
"Phytoplankton",403,0,597
"Sea birds",548,0,452
"Seals",766,0,234
"Sharks",790,0,210
"Shrimp",255,0,745
"Small crab other arthropoda",967,0,33
"Small pelagics",714,0,286
"Squids",579,0,421
"Toothed cetaceans",523,0,477
"Whales",831,0,169
"Worms",405,0,595
