"","-","0","+"
"Bivalves",923,0,77
"D piscivores",991,0,9
"Detritus",203,0,797
"Discards",152,0,848
"Fishery",418,0,582
"Gelatinous zoop",5,0,995
"L benthivores",148,0,852
"Large pelagics",43,0,957
"Macrozoop",995,0,5
"Megabenthos",898,0,102
"Meiofauna",203,0,797
"Mesozoop",5,0,995
"Microflora",260,0,740
"Microzoop",953,0,47
"Other molluscs",272,0,728
"Other pelagic mesopelagic",440,0,560
"Phytoplankton",995,0,5
"Sea birds",311,0,689
"Seals",480,0,520
"Sharks",81,0,919
"Shrimps",498,0,502
"Skates",188,0,812
"Small crab other arthropoda",848,0,152
"Small pelagics",3,0,997
"Squids",204,0,796
"Toothed cetaceans",407,0,593
"Whales",995,0,5
"Worms",203,0,797
