"","-","0","+"
"Bivalves",453,0,547
"D piscivores",471,0,529
"Detritus",424,0,576
"Discards",482,0,518
"Fishery",355,0,645
"Gelatinous zoop",424,0,576
"L benthivores",624,0,376
"Large pelagics",580,0,420
"Macrozoop",349,0,651
"Megabenthos",489,0,511
"Meiofauna",545,0,455
"Mesozoop",114,0,886
"Microflora",344,0,656
"Microzoop",910,0,90
"Other molluscs",705,0,295
"Other pelagic mesopelagic",537,0,463
"Phytoplankton",914,0,86
"Sea birds",518,0,482
"Seals",654,0,346
"Sharks",445,0,555
"Shrimp",458,0,542
"Skates",636,0,364
"Small crab other arthropoda",639,0,361
"Small pelagics",374,0,626
"Squids",465,0,535
"Toothed cetaceans",587,0,413
"Whales",355,0,645
"Worms",520,0,480
