"","-","0","+"
"Bivalves",394,0,606
"D piscivores",393,0,607
"Detritus",288,0,712
"Discards",472,0,528
"Fishery",556,0,444
"Gelatinous zoop",288,0,712
"L benthivores",589,0,411
"Large pelagics",470,0,530
"Macrozoop",632,0,368
"Megabenthos",820,0,180
"Meiofauna",128,0,872
"Mesozoop",315,0,685
"Microflora",756,0,244
"Microzoop",570,0,430
"Other molluscs",490,0,510
"Other pelagic mesopelagic",497,0,503
"Phytoplankton",400,0,600
"Sea birds",528,0,472
"Seals",564,0,436
"Sharks",526,0,474
"Shrimp",414,0,586
"Skates",494,0,506
"Small crab other arthropoda",839,0,161
"Small pelagics",587,0,413
"Squids",554,0,446
"Toothed cetaceans",604,0,396
"Whales",536,0,464
"Worms",521,0,479
