"","-","0","+"
"Bivalves",277,0,723
"D piscivores",703,0,297
"Detritus",551,0,449
"Discards",496,0,504
"Fishery",137,0,863
"Gelatinous zoop",328,0,672
"L benthivores",631,0,369
"Large pelagics",762,0,238
"Macrozoop",482,0,518
"Megabenthos",655,0,345
"Meiofauna",573,0,427
"Mesozoop",664,0,336
"Microflora",382,0,618
"Microzoop",460,0,540
"Other molluscs",588,0,412
"Other pelagic mesopelagic",366,0,634
"Phytoplankton",648,0,352
"Sea birds",644,0,356
"Seals",343,0,657
"Sharks",892,0,108
"Shrimps",255,0,745
"Skates",556,0,444
"Small crab other arthropoda",316,0,684
"Small pelagics",731,0,269
"Squids",173,0,827
"Toothed cetaceans",775,0,225
"Whales",684,0,316
"Worms",576,0,424
