"","-","0","+"
"Bivalves",677,0,323
"D piscivores",675,0,325
"Detritus",311,0,689
"Discards",682,0,318
"Fishery",617,0,383
"Gelatinous zoop",404,0,596
"L benthivores",613,1,386
"Large pelagics",485,0,515
"Macrozoop",869,0,131
"Megabenthos",348,0,652
"Meiofauna",448,0,552
"Mesozoop",148,0,852
"Microflora",706,0,294
"Microzoop",519,0,481
"Other molluscs",635,0,365
"Other pelagic mesopelagic",421,0,579
"Phytoplankton",645,0,355
"Sea birds",860,0,140
"Seals",527,0,473
"Sharks",674,0,326
"Shrimps",278,0,722
"Skates",435,0,565
"Small crab other arthropoda",376,0,624
"Small pelagics",684,0,316
"Squids",496,0,504
"Toothed cetaceans",739,0,261
"Whales",854,0,146
"Worms",471,0,529
