"","-","0","+"
"Bivalves",753,0,247
"D piscivores",806,0,194
"Detritus",571,1,428
"Discards",152,0,848
"Fishery",24,0,976
"Gelatinous zoop",275,0,725
"L benthivores",100,0,900
"Large pelagics",878,0,122
"Macrozoop",372,1,627
"Megabenthos",45,0,955
"Meiofauna",572,0,428
"Mesozoop",626,2,372
"Microflora",565,2,433
"Microzoop",393,1,606
"Other molluscs",169,0,831
"Other pelagic mesopelagic",563,0,437
"Phytoplankton",372,1,627
"Sea birds",540,0,460
"Seals",275,0,725
"Sharks",600,0,400
"Shrimps",532,0,468
"Skates",569,0,431
"Small crab other arthropoda",848,0,152
"Small pelagics",627,0,373
"Squids",65,0,935
"Toothed cetaceans",717,0,283
"Whales",372,1,627
"Worms",571,1,428
