"","-","0","+"
"Bivalves",0,0,1000
"D piscivores",0,1000,0
"Detritus",1000,0,0
"Discards",782,0,218
"Fishery",0,0,1000
"Large pelagics",0,0,1000
"Macrozoop",144,0,856
"Megabenthos",0,1000,0
"Meiofauna",1000,0,0
"Mesozoop",0,0,1000
"Microflora",0,0,1000
"Microzoop",1000,0,0
"Other molluscs",230,0,770
"Other pelagic mesopelagic",0,0,1000
"Phytoplankton",0,0,1000
"Sea birds",218,0,782
"Seals",1000,0,0
"Sharks",1000,0,0
"Shrimp",0,0,1000
"Small crab other arthropoda",1000,0,0
"Small pelagics",198,0,802
"Squids",144,0,856
"Toothed cetaceans",324,0,676
"Whales",304,0,696
"Worms",480,0,520
