"","-","0","+"
"Bivalves",934,0,66
"D piscivores",446,0,554
"Detritus",94,0,906
"Discards",607,0,393
"Fishery",406,0,594
"Gelatinous zoop",0,1000,0
"L benthivores",297,0,703
"Large pelagics",481,0,519
"Macrozoop",350,0,650
"Megabenthos",381,0,619
"Meiofauna",703,0,297
"Mesozoop",97,0,903
"Microflora",494,0,506
"Microzoop",860,0,140
"Other molluscs",381,0,619
"Other pelagic mesopelagic",391,0,609
"Phytoplankton",934,0,66
"Sea birds",393,0,607
"Seals",395,0,605
"Sharks",439,0,561
"Shrimp",430,0,570
"Small crab other arthropoda",209,0,791
"Small pelagics",316,0,684
"Squids",461,0,539
"Toothed cetaceans",467,0,533
"Whales",453,0,547
"Worms",255,0,745
