"","-","0","+"
"Bivalves",0,1000,0
"D piscivores",931,0,69
"Detritus",0,1000,0
"Discards",929,0,71
"Fishery",69,0,931
"Gelatinous zoop",0,1000,0
"L benthivores",931,0,69
"Large pelagics",22,0,978
"Macrozoop",0,1000,0
"Megabenthos",0,1000,0
"Meiofauna",0,1000,0
"Mesozoop",0,1000,0
"Microflora",0,1000,0
"Microzoop",0,1000,0
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",13,0,987
"Phytoplankton",0,1000,0
"Sea birds",71,0,929
"Seals",154,0,846
"Sharks",751,0,249
"Shrimp",494,0,506
"Skates",0,1000,0
"Small crab other arthropoda",0,1000,0
"Small pelagics",530,0,470
"Squids",233,0,767
"Toothed cetaceans",418,0,582
"Whales",798,0,202
"Worms",0,1000,0
