"","-","0","+"
"Bivalves",150,0,850
"D piscivores",526,0,474
"Detritus",819,0,181
"Discards",562,0,438
"Fishery",372,0,628
"Gelatinous zoop",0,1000,0
"L benthivores",884,0,116
"Large pelagics",434,0,566
"Macrozoop",493,0,507
"Megabenthos",743,0,257
"Meiofauna",116,0,884
"Mesozoop",150,0,850
"Microflora",97,0,903
"Microzoop",743,0,257
"Other molluscs",743,0,257
"Other pelagic mesopelagic",337,0,663
"Phytoplankton",150,0,850
"Sea birds",438,0,562
"Seals",615,0,385
"Sharks",516,0,484
"Shrimp",414,0,586
"Small crab other arthropoda",534,0,466
"Small pelagics",405,0,595
"Squids",527,0,473
"Toothed cetaceans",508,0,492
"Whales",557,0,443
"Worms",660,0,340
