"","-","0","+"
"Bivalves",202,0,798
"D piscivores",367,0,633
"Detritus",383,0,617
"Discards",420,0,580
"Fishery",242,0,758
"Gelatinous zoop",339,0,661
"L benthivores",450,0,550
"Large pelagics",407,0,593
"Macrozoop",93,0,907
"Megabenthos",605,0,395
"Meiofauna",643,0,357
"Mesozoop",437,0,563
"Microflora",514,0,486
"Microzoop",401,0,599
"Other molluscs",251,0,749
"Other pelagic mesopelagic",354,0,646
"Phytoplankton",111,0,889
"Sea birds",148,0,852
"Seals",381,0,619
"Sharks",483,0,517
"Shrimps",374,0,626
"Skates",482,0,518
"Small crab other arthropoda",529,0,471
"Small pelagics",403,0,597
"Squids",383,0,617
"Toothed cetaceans",359,0,641
"Whales",150,0,850
"Worms",489,0,511
