"","-","0","+"
"Bivalves",628,0,372
"D piscivores",467,0,533
"Detritus",288,0,712
"Discards",387,0,613
"Fishery",302,0,698
"Gelatinous zoop",360,0,640
"L benthivores",793,0,207
"Large pelagics",415,0,585
"Macrozoop",680,0,320
"Megabenthos",522,0,478
"Meiofauna",624,0,376
"Mesozoop",290,0,710
"Microflora",578,0,422
"Microzoop",394,0,606
"Other molluscs",461,0,539
"Other pelagic mesopelagic",338,0,662
"Phytoplankton",617,0,383
"Sea birds",311,0,689
"Seals",413,0,587
"Sharks",557,0,443
"Shrimps",517,0,483
"Skates",576,0,424
"Small crab other arthropoda",642,0,358
"Small pelagics",132,0,868
"Squids",644,0,356
"Toothed cetaceans",507,0,493
"Whales",312,0,688
"Worms",206,0,794
