"","-","0","+"
"Bivalves",0,613,0
"D piscivores",0,613,0
"Detritus",0,613,0
"Discards",0,613,0
"Fishery",0,613,0
"Gelatinous zoop",0,613,0
"L benthivores",0,613,0
"Large pelagics",0,613,0
"Macrozoop",0,613,0
"Megabenthos",0,613,0
"Meiofauna",0,613,0
"Mesozoop",0,613,0
"Microflora",0,613,0
"Microzoop",0,613,0
"Other molluscs",0,613,0
"Other pelagic mesopelagic",0,613,0
"Phytoplankton",0,613,0
"Sea birds",0,613,0
"Seals",0,613,0
"Sharks",0,613,0
"Shrimp",0,613,0
"Small crab other arthropoda",0,613,0
"Small pelagics",0,613,0
"Squids",0,613,0
"Toothed cetaceans",0,613,0
"Whales",0,613,0
"Worms",0,613,0
