"","-","0","+"
"Bivalves",0,1000,0
"D piscivores",0,0,1000
"Detritus",0,1000,0
"Discards",293,0,707
"Fishery",1000,0,0
"Gelatinous zoop",0,1000,0
"L benthivores",0,1000,0
"Large pelagics",517,0,483
"Macrozoop",0,1000,0
"Megabenthos",0,1000,0
"Meiofauna",0,1000,0
"Mesozoop",0,1000,0
"Microflora",0,1000,0
"Microzoop",0,1000,0
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",1000,0,0
"Phytoplankton",0,1000,0
"Sea birds",707,0,293
"Seals",240,0,760
"Sharks",551,0,449
"Shrimp",1000,0,0
"Small crab other arthropoda",0,1000,0
"Small pelagics",839,0,161
"Squids",731,0,269
"Toothed cetaceans",736,0,264
"Whales",0,0,1000
"Worms",0,1000,0
