"","-","0","+"
"Bivalves",775,0,225
"D piscivores",350,0,650
"Detritus",405,0,595
"Discards",227,0,773
"Fishery",424,0,576
"Gelatinous zoop",434,0,566
"L benthivores",492,0,508
"Large pelagics",443,0,557
"Macrozoop",220,0,780
"Megabenthos",490,0,510
"Meiofauna",561,0,439
"Mesozoop",503,0,497
"Microflora",481,0,519
"Microzoop",430,0,570
"Other molluscs",228,0,772
"Other pelagic mesopelagic",430,0,570
"Phytoplankton",285,0,715
"Sea birds",295,0,705
"Seals",430,0,570
"Sharks",452,0,548
"Shrimps",439,0,561
"Skates",596,0,404
"Small crab other arthropoda",920,0,80
"Small pelagics",449,0,551
"Squids",474,0,526
"Toothed cetaceans",412,0,588
"Whales",278,0,722
"Worms",169,0,831
