"","-","0","+"
"Bivalves",0,0,1000
"D piscivores",0,1000,0
"Detritus",1000,0,0
"Discards",524,0,476
"Fishery",0,0,1000
"Large pelagics",0,0,1000
"Macrozoop",0,0,1000
"Megabenthos",0,1000,0
"Meiofauna",0,1000,0
"Mesozoop",0,0,1000
"Microflora",0,0,1000
"Microzoop",1000,0,0
"Other molluscs",0,0,1000
"Other pelagic mesopelagic",0,0,1000
"Phytoplankton",0,0,1000
"Sea birds",476,0,524
"Seals",1000,0,0
"Sharks",1000,0,0
"Shrimp",0,0,1000
"Small pelagics",0,0,1000
"Squids",0,0,1000
"Toothed cetaceans",1000,0,0
"Whales",357,0,643
"Worms",1000,0,0
