"","-","0","+"
"Bivalves",414,0,586
"D piscivores",658,0,342
"Detritus",358,0,642
"Discards",623,0,377
"Fishery",382,0,618
"Gelatinous zoop",358,0,642
"L benthivores",624,0,376
"Large pelagics",417,0,583
"Macrozoop",623,0,377
"Megabenthos",156,0,844
"Meiofauna",488,0,512
"Mesozoop",352,0,648
"Microflora",663,0,337
"Microzoop",588,0,412
"Other molluscs",853,0,147
"Other pelagic mesopelagic",359,0,641
"Phytoplankton",450,0,550
"Sea birds",377,0,623
"Seals",555,0,445
"Sharks",617,0,383
"Shrimp",563,0,437
"Skates",650,0,350
"Small crab other arthropoda",808,0,192
"Small pelagics",508,0,492
"Squids",458,0,542
"Toothed cetaceans",570,0,430
"Whales",595,0,405
"Worms",265,0,735
