"","-","0","+"
"Bivalves",84,0,916
"D piscivores",0,0,1000
"Detritus",379,0,621
"Discards",621,0,379
"Fishery",84,0,916
"Gelatinous zoop",475,0,525
"L benthivores",492,0,508
"Large pelagics",695,0,305
"Macrozoop",0,0,1000
"Megabenthos",84,0,916
"Meiofauna",379,0,621
"Mesozoop",0,0,1000
"Microflora",621,0,379
"Microzoop",772,0,228
"Other molluscs",169,0,831
"Other pelagic mesopelagic",287,0,713
"Phytoplankton",0,0,1000
"Sea birds",239,0,761
"Seals",333,0,667
"Sharks",644,0,356
"Shrimps",477,0,523
"Skates",402,0,598
"Small crab other arthropoda",379,0,621
"Small pelagics",483,0,517
"Squids",513,0,487
"Toothed cetaceans",701,0,299
"Whales",0,0,1000
"Worms",379,0,621
