"","-","0","+"
"Bivalves",0,1000,0
"D piscivores",53,0,947
"Detritus",0,1000,0
"Discards",78,0,922
"Fishery",947,0,53
"Gelatinous zoop",0,1000,0
"L benthivores",53,0,947
"Large pelagics",976,0,24
"Macrozoop",0,1000,0
"Megabenthos",0,1000,0
"Meiofauna",0,1000,0
"Mesozoop",0,1000,0
"Microflora",0,1000,0
"Microzoop",0,1000,0
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",992,0,8
"Phytoplankton",0,1000,0
"Sea birds",922,0,78
"Seals",86,0,914
"Sharks",242,0,758
"Shrimp",511,0,489
"Skates",0,1000,0
"Small crab other arthropoda",0,1000,0
"Small pelagics",474,0,526
"Squids",777,0,223
"Toothed cetaceans",561,0,439
"Whales",201,0,799
"Worms",0,1000,0
