"","-","0","+"
"Bivalves",358,0,642
"D piscivores",328,0,672
"Detritus",242,0,758
"Discards",341,0,659
"Fishery",256,0,744
"Gelatinous zoop",380,0,620
"L benthivores",298,0,702
"Large pelagics",567,0,433
"Macrozoop",94,0,906
"Megabenthos",310,0,690
"Meiofauna",242,0,758
"Mesozoop",143,0,857
"Microflora",879,0,121
"Microzoop",308,0,692
"Other molluscs",142,0,858
"Other pelagic mesopelagic",354,0,646
"Phytoplankton",13,0,987
"Sea birds",173,0,827
"Seals",401,0,599
"Sharks",443,0,557
"Shrimps",450,0,550
"Skates",447,0,553
"Small crab other arthropoda",659,0,341
"Small pelagics",418,0,582
"Squids",456,0,544
"Toothed cetaceans",366,0,634
"Whales",94,0,906
"Worms",242,0,758
